Id,y
10000,-66.00242349023114
10001,451.4065044011541
10002,-461.6764170602986
10003,40.50120875372466
10004,-126.74472245403854
10005,-342.53455181925176
10006,-396.55554211358873
10007,335.5412790790885
10008,-99.51242087062471
10009,304.8125398062758
10010,68.89453048978581
10011,412.3691954559095
10012,54.94237102476761
10013,-17.005550754779833
10014,-597.8499575722612
10015,443.5022887864149
10016,144.77448697804374
10017,-57.4111636725374
10018,134.38782757746247
10019,-108.98377598910885
10020,153.82482842506803
10021,611.7359836022036
10022,588.3896503384233
10023,-131.0167999580197
10024,-61.13562114122849
10025,-374.24849531697305
10026,74.15799307965456
10027,137.43837873610372
10028,420.0866117967909
10029,196.7656257134445
10030,268.44284980053374
10031,638.4749102511104
10032,127.37873138691835
10033,1.349118758399997
10034,22.710453177407018
10035,342.2395345225653
10036,307.7039669741726
10037,348.13820870094156
10038,-168.65286130735478
10039,-20.221130904618157
10040,-551.7499275731112
10041,-429.9718040667418
10042,261.891958706744
10043,389.82042612922146
10044,-96.16562227356599
10045,-210.7108012563268
10046,278.88186878401314
10047,-427.4533010310489
10048,-172.90325291756923
10049,467.264378355785
10050,-631.5587355874401
10051,-355.5316593381778
10052,143.1732755386047
10053,69.19920259894124
10054,275.58827397672724
10055,-263.188612204104
10056,167.49830723241232
10057,104.57789589014203
10058,230.07008661007717
10059,20.98802664457654
10060,-4.822581262502217
10061,-201.92294081063724
10062,560.0639265657704
10063,55.28847625244846
10064,671.3015746918352
10065,-493.7487382852292
10066,-279.3530367325923
10067,-53.71252761314621
10068,379.69819550097634
10069,315.0714108579833
10070,169.13001732614248
10071,-271.5993032690108
10072,783.8022226750339
10073,44.577311515548395
10074,57.40678005457872
10075,-161.07827414306809
10076,-220.66957847885774
10077,223.24129442929234
10078,352.66559554375635
10079,13.163291366266785
10080,-461.99414698573065
10081,305.3721466914244
10082,-230.5965617386109
10083,359.0744432425445
10084,-430.26056337592144
10085,-115.54882205546399
10086,-88.96006387867425
10087,-488.29018980804256
10088,-139.35033854713623
10089,57.33880810852567
10090,-190.3362427216653
10091,-6.5080929148235285
10092,189.29107774701745
10093,346.6036781856562
10094,871.6273206485918
10095,-147.01353738653944
10096,443.4899377794315
10097,-30.498432974438415
10098,185.46345753445883
10099,-119.91717151732777
10100,43.57523800180893
10101,58.31857155224379
10102,-197.15246829839893
10103,-70.47160678841303
10104,-342.84605328866803
10105,-29.23358987371688
10106,49.52292929610443
10107,-16.246144137911685
10108,33.775069261607705
